"table";"forder";"field";"label[FR]";"ftype";"fcount";"target";"compulsory";"browsable";"multivalued";"published";"queryable";"translatable";"options[checkbox]";"options[readonly]"
"CAPACAPA";3;"Capacite";"Capacité";"XRealDef";10;;;1;;;1;;;
"CAPACAPA";4;"att_Capacite_classee";"Capacité classée";"XBoolDef";;;;1;;;;;;
"CAPACAPA";5;"att_Capacite_unite";"Unité";"XLinkDef";;"tzrprefix_LS_CapaciteUnites";;1;;;;;0;
;;;;;;;;;;;;;;
"CAPASUP";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"CAPASUP";2;"tzr_lie";"Lié à";"XLinkDef";;;1;1;;1;1;;0;
"CAPASUP";3;"Superficie";"Superficie";"XRealDef";10;;;1;;;1;;;
"CAPASUP";4;"att_Superficie_classee";"Superficie classée";"XBoolDef";;;;1;;;;;;
"CAPASUP";5;"att_Superficie_unite";"Unité";"XLinkDef";;"tzrprefix_LS_SuperficiesUnites";;1;;;;;0;
;;;;;;;;;;;;;;
"DCAPAPREST";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DCAPAPREST";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;1;1;;0;
"DCAPAPREST";3;"tzr_ispresta";"Spécifique à une prestation";"XBoolDef";;;;1;;;1;;;
"DCAPAPREST";4;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_CapacitePrest";;1;;1;1;;0;
"DCAPAPREST";5;"DescriptionCapacitePrestation";"Description";"XTextDef";60;;;1;;;;1;;
;;;;;;;;;;;;;;
"DCAPAUNIT";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DCAPAUNIT";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;1;1;;0;
"DCAPAUNIT";3;"tzr_ispresta";"Spécifique à une prestation";"XBoolDef";;;;1;;;1;;;
"DCAPAUNIT";4;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Unite";;1;;1;1;;0;
"DCAPAUNIT";5;"TypeBatiment";"Type de bâtiment";"XLinkDef";;"tzrprefix_LS_TypeBatiment";;1;;1;1;;0;
"DCAPAUNIT";6;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;1;;
"DCAPAUNIT";7;"Etage";"Etage";"XShortTextDef";80;;;1;;;;;;
"DCAPAUNIT";8;"SurfaceMoyenne";"Surface moyenne";"XRealDef";10;;;1;;;;;;
"DCAPAUNIT";9;"att_SurfaceMoyenne_unite";"Unité";"XLinkDef";;"tzrprefix_LS_SuperficiesUnites";;1;;;;;0;
"DCAPAUNIT";10;"SurfaceMini";"Surface minimum";"XRealDef";10;;;1;;;;;;
"DCAPAUNIT";11;"att_SurfaceMini_unite";"Unité";"XLinkDef";;"tzrprefix_LS_SuperficiesUnites";;1;;;;;0;
"DCAPAUNIT";12;"SurfaceMaxi";"Surface maximum";"XRealDef";10;;;1;;;;;;
"DCAPAUNIT";13;"att_SurfaceMaxi_unite";"Unité";"XLinkDef";;"tzrprefix_LS_SuperficiesUnites";;1;;;;;0;
"DCAPAUNIT";14;"NbUnites";"Nombre d'unités";"XRealDef";10;;;1;;;;;;
"DCAPAUNIT";15;"DescriptionUnite";"Description";"XTextDef";60;;;;;;;1;;
;;;;;;;;;;;;;;
"DDISP";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DDISP";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DCAPAUNIT";1;1;;1;1;;0;
"DDISP";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_Disposition";;1;;1;1;;0;
"DDISP";4;"CapaciteMoyenne";"Capacité moyenne";"XRealDef";10;;;1;;;;;;
"DDISP";5;"CapaciteMini";"Capacité minimum";"XRealDef";10;;;1;;;;;;
"DDISP";6;"CapaciteMaxi";"Capacité maximum";"XRealDef";10;;;1;;;;;;
;;;;;;;;;;;;;;
"DOFFREPRESTA";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DOFFREPRESTA";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;1;1;;0;
"DOFFREPRESTA";3;"att_type";"Type";"XLinkDef";;"tzrprefix_LS_OffrePrestation";;1;;1;1;;0;
;;;;;;;;;;;;;;
"DPRESTA";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DPRESTA";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DOFFREPRESTA";1;1;;1;1;;0;
"DPRESTA";3;"tzr_istarif";"Spécifique à un tarif";"XBoolDef";;;;1;;;1;;;
"DPRESTA";4;"tzr_isprestpla";"Spécifique à une prestation planning";"XBoolDef";;;;1;;;1;;;
"DPRESTA";5;"Prestation";"Prestation";"XLinkDef";;"tzrprefix_LS_Prestation";;1;;1;1;;0;
"DPRESTA";6;"Nom";"Nom";"XShortTextDef";80;;;1;;1;1;1;;
"DPRESTA";7;"DureePrest";"Durée";"XRealDef";10;;;1;;;;;;
"DPRESTA";8;"att_DureePrest_unite";"Unité";"XLinkDef";;"tzrprefix_LS_DureeUnite";;1;;;;;0;
"DPRESTA";9;"NbPrest";"Nombre";"XRealDef";3;;;1;;;;;;
"DPRESTA";10;"att_NbPrest_unite";"Unité";"XShortTextDef";100;;;1;;;;;;
"DPRESTA";11;"Inclus";"Inclus";"XBoolDef";;;;;;;;;;
"DPRESTA";12;"Payant";"Payant";"XBoolDef";;;;;;;;;;
"DPRESTA";13;"Distance";"Distance";"XRealDef";10;;;;;;;;;
"DPRESTA";14;"att_Distance_unite";"Unité";"XLinkDef";;"tzrprefix_LS_DistanceUnite";;;;;;;0;
"DPRESTA";15;"Commune";"Commune";"XLinkDef";;"tzrprefix_LS_Commune";;;;;1;;0;
"DPRESTA";16;"DetailCapacitePrestation";"Capacité de la prestation";"XLinkDef";;"tzrprefix_DCAPAPREST";;;;;;;0;
"DPRESTA";17;"DetailCapaciteUnite";"Détails sur les unités";"XLinkDef";;"tzrprefix_DCAPAUNIT";;;;;;;0;
"DPRESTA";18;"DescriptionPrestation";"Description";"XTextDef";60;;;;;;;1;;
;;;;;;;;;;;;;;
"DTARIF";1;"tzr_dc";"Ressource";"XLinkDef";;"tzrprefix_DC";1;;;;1;;0;1
"DTARIF";2;"tzr_lie";"Lié à";"XLinkDef";;"tzrprefix_DC";1;1;;;1;;0;
